Person_ID,Season,Gender,Favorite_Craving,Weekly_Consumption,
1,Summer,Male,Fruits,1,
2,Winter,Female,Fruits,3,
3,Spring,Male,Tea,5,
4,Summer,Other,Soup,2,
5,Monsoon,Male,Fruits,1,
6,Monsoon,Male,Fruits,6,
7,Summer,Male,Soup,3,
8,Summer,Female,Soup,3,
9,Spring,Male,Fruits,1,
10,Spring,Female,Soup,5,
11,Winter,Female,Fruits,1,
12,Spring,Male,Fruits,2,
13,Monsoon,Male,Tea,1,
14,Monsoon,Male,Ice Cream,3,
15,Summer,Other,Fruits,1,
16,Spring,Male,Spicy Snacks,5,
17,Winter,Female,Ice Cream,6,
18,Monsoon,Male,Ice Cream,4,
19,Monsoon,Other,Ice Cream,1,
20,Winter,Male,Tea,5,
21,Winter,Other,Fruits,5,
22,Monsoon,Other,Tea,6,
23,Monsoon,Male,Fruits,3,
24,Winter,Female,Tea,5,
25,Monsoon,Other,Tea,5,
26,Summer,Male,Spicy Snacks,5,
27,Summer,Male,Tea,5,
28,Winter,Female,Soup,2,
29,Spring,Other,Spicy Snacks,2,
30,Winter,Other,Tea,3,
31,Winter,Male,Ice Cream,1,
32,Spring,Male,Soup,5,
33,Spring,Female,Soup,6,
34,Spring,Female,Soup,1,
35,Summer,Other,Spicy Snacks,6,
36,Monsoon,Other,Tea,1,
37,Summer,Male,Tea,3,
38,Monsoon,Other,Ice Cream,5,
39,Summer,Female,Ice Cream,5,
40,Monsoon,Female,Soup,4,
